point_id,premium_pp,pv_premiums,pv_claims,pv_expenses,pv_commissions,pv_net_cf
141,25.0400000000,2992.0165904778,1994.8630581094,938.9903837852,286.4138144162,-228.2506658330
142,20.2100000000,2906.3411064239,1937.8025516880,1084.0440787886,231.0881341282,-346.5936581809
143,84.7900000000,10102.5757261661,6734.8844118130,937.0984891794,969.7571661834,1460.8356589903
144,8.1500000000,711.1542335023,474.3591648980,756.6918581469,93.2203179964,-613.1171075390
145,11.5000000000,1372.8044521046,915.3654962859,938.3519954833,131.5356287718,-612.4486684364
146,129.3600000000,15342.4665723255,10227.9433038222,934.0736028865,1479.2967450839,2701.1529205329
147,14.5600000000,1269.7733792304,846.5951218088,756.4322921394,166.5328010232,-499.7868357410
148,130.0900000000,15478.4922116519,10319.2718130595,936.1820858981,1487.7941348429,2735.2441778514
149,62.4100000000,9001.3870461295,6000.4618800350,1086.4759890134,713.6567635992,1200.7924134819
150,46.1300000000,6742.5329073878,4494.6063118730,1097.5884505866,527.6364275597,622.7017173684
151,71.7300000000,10315.2819180497,6877.2992520692,1084.0440787886,820.1856437908,1533.7529434011
152,51.1200000000,7390.9701974148,4927.7593745772,1088.4939688877,584.5829437901,790.1339101598
153,47.7500000000,5698.3206527431,3798.6283951324,938.1427889439,546.1530303652,415.3964383016
154,52.4300000000,4574.3481199844,3049.5811243646,756.6307199789,599.6935730949,168.4427025460
155,62.3000000000,7434.6675741549,4956.4990824188,938.1427889439,712.5724354294,827.4532673628
156,22.8400000000,2728.9254913824,1819.3984656162,938.9383947274,261.2489750568,-290.6603440180
157,29.0400000000,4234.6578885384,2822.8134898765,1095.6242774865,332.1437719984,-15.9236508230
158,85.3500000000,7431.9650645114,4954.7640872665,755.7180513530,976.1182981693,745.3646277226
159,212.4100000000,25192.4344822794,16795.1658927872,934.0736028865,2429.0153186709,5034.1796679348
160,12.7600000000,1111.7503213382,740.9393992384,755.9935047728,145.9367685102,-531.1193511832
161,53.7500000000,6421.5128632244,4280.9323682199,938.8824522502,614.8026537200,586.8953890344
162,53.2400000000,4634.8727683045,3090.0429729604,755.6102914559,608.8791336510,180.3403702371
163,43.1900000000,3769.4759289240,2512.7469472188,756.7903865069,494.0167790149,5.9218161834
164,37.1800000000,5436.2001523261,3624.0897227712,1097.8712831691,425.2691652887,288.9699810970
165,332.1900000000,28751.0846040500,19167.1043477254,752.8992265782,3797.8279035578,5033.2531261886
166,40.2000000000,3507.3201301425,2338.3713921806,756.6307199789,459.8070119858,-47.4889940028
167,75.9900000000,6618.3396472818,4412.1574853824,755.8173576902,869.0821121921,581.2826920171
168,21.7600000000,3155.2178321438,2103.2441794884,1090.9087661794,248.8505790567,-287.7856925806
169,96.8700000000,8413.7262629057,5609.2353435608,754.5370947577,1107.7059876599,942.2478369273
170,29.0100000000,3466.1177103767,2310.6360513326,938.9383947274,331.8228006303,-115.2795363136
171,186.7600000000,22097.8901483027,14732.0249422159,932.5173167244,2135.5397188329,4297.8081705296
172,101.4200000000,8795.5564419508,5863.8334225839,753.8312137160,1159.6350517801,1018.2567538707
173,46.0900000000,5476.2938581263,3650.7816974236,935.2637903541,527.0920583052,363.1563120433
174,70.0300000000,10211.8833310725,6807.9619461728,1095.6242774865,800.9651636725,1507.3319437407
175,47.9100000000,6999.9645128555,4666.8808134297,1097.2602780930,547.9914641880,687.8319571448
176,99.9400000000,11891.1562121031,7927.4692661855,936.1820858981,1142.9790593912,1884.5258006283
177,158.5000000000,23001.1531915227,15333.9024640725,1091.5804976578,1812.6582758244,4763.0119539680
178,47.8600000000,4174.6453382636,2783.3744357376,756.5205193927,547.4141838171,87.3361993162
179,114.8400000000,13644.9899472168,9097.0298034162,935.2637903541,1313.3272288082,2299.3691246382
180,54.7300000000,4775.6406379852,3183.5512968153,756.6918581469,626.0058900541,209.3915929689
181,24.7800000000,2958.5130501779,1972.4991637905,938.4454697809,283.4320284404,-235.8636118339
182,8.4900000000,741.0686611559,494.2198298600,756.8474066171,97.1112087837,-607.1097841048
183,42.6700000000,5093.7013888091,3395.5111990606,938.3519954833,488.0543721471,271.7838221181
184,31.7400000000,4639.2368194340,3092.4104135653,1097.5884505866,363.0431435236,86.1948117584
185,254.2600000000,30110.6144991367,20073.4807469840,933.0839460749,2907.4566369608,6196.5931691170
186,196.6900000000,23250.8051705009,15500.2071971795,931.8958594654,2249.0215290285,4569.6805848275
187,200.1400000000,17366.5606203132,11577.4740287760,754.0882497416,2288.4700229791,2746.5283188165
188,158.1600000000,22565.4871738217,15043.9951252356,1077.5309870471,1808.1954942253,4635.7655673136
189,177.8700000000,25831.1301605598,17220.5484282170,1092.1959456200,2034.2098328794,5484.1759538434
190,73.1800000000,6379.8232062137,4253.2290661175,756.2725330342,836.9931554698,533.3284515921
191,113.8600000000,9916.6226113898,6611.2769891377,755.8173576902,1302.1935688143,1247.3346957476
192,7.5400000000,1100.2313520158,733.4673826862,1096.1853728800,86.2396535946,-815.6610571449
193,20.4800000000,2441.4791245343,1627.4783646233,937.4569555241,234.2372796243,-357.6934752374
194,39.9600000000,5837.1398225159,3891.8745763113,1097.0767788299,457.0577152800,391.1307520947
195,110.8700000000,16076.2408570674,10717.5953401590,1090.9087661794,1267.9257215079,2999.8110292211
196,45.0700000000,3900.8139411317,2600.5618964251,752.8992265782,515.2716927462,32.0811253822
197,36.8200000000,5383.5634644606,3589.2427062061,1097.8712831691,421.1514434086,275.2980316769
198,30.8500000000,3686.2504718946,2457.2485351546,938.9903837852,352.8700549017,-62.8585019470
199,55.4900000000,6619.5507817680,4413.1506009233,937.8995482845,634.6735249287,633.8271076315
200,64.3800000000,9391.2611651044,6260.9312777290,1095.9158827522,736.3489391739,1298.0650654493
201,11.7700000000,1716.9174264256,1144.4713088322,1095.9158827522,134.6198666368,-658.0896317956
202,37.1800000000,3244.4496297788,2162.7326970461,756.7192474217,425.2691652887,-100.2714799776
203,30.1300000000,2629.2433390327,1752.7818723821,756.7192474217,344.6304451358,-224.8882259069
204,40.1400000000,3502.0853239782,2334.7794238362,756.6307199789,459.1207328634,-48.4455527004
205,117.0200000000,17016.2474605571,11343.8445372633,1093.2784533794,1338.3338435153,3240.7906263991
206,21.2100000000,3063.0086909403,2041.9782258353,1087.5315179624,242.5416597362,-309.0427125935
207,69.6400000000,10151.1834257979,6767.4216747549,1095.3085042616,796.4982496600,1491.9549971214
208,4.3900000000,524.2598437538,349.1631412089,938.6129255746,50.2129615649,-813.7291845945
209,100.1900000000,11946.8106347124,7964.6902106229,937.6160751321,1145.9188883100,1898.5854606475
210,49.2200000000,5860.7393927323,3907.4471358395,936.6776962357,562.9256078795,453.6889527776
211,77.1400000000,6681.3773864127,4454.4710738657,753.2396180813,881.9545479752,591.7121464905
212,101.6700000000,14840.0268408657,9893.5840331766,1096.4346045105,1162.8701840682,2687.1380191104
213,22.0300000000,3219.3805784094,2146.5476128468,1097.4304909789,251.9788177624,-276.5763431787
214,7.6200000000,664.0247438824,442.6484317565,756.0716187804,87.1511924321,-621.8464990866
215,38.5700000000,3366.4053071283,2244.0148975477,756.8108245191,441.1733555125,-75.5937704510
216,75.1100000000,10966.2757672398,7311.1605329391,1096.6652581846,859.0901384447,1699.3598376714
217,31.3500000000,2735.7045694881,1823.7969758672,756.7192474217,358.5849470630,-203.3966008638
218,64.8900000000,7746.1983388756,5164.3931716131,938.3519954833,742.2040826957,901.2490890835
219,7.2200000000,862.4950451604,574.8943772426,938.8222665727,82.5834716306,-733.8050702855
220,77.4100000000,9240.7645771669,6160.1623939241,938.3519954833,885.4063498455,1256.8438379139
221,51.5000000000,4491.3000707669,2993.9483734800,756.4322921394,589.0411574654,151.8782476821
222,53.5500000000,7833.0042743294,5222.1744652811,1098.2245360874,612.5167519391,900.0885210218
223,50.8100000000,6063.4905207514,4042.3906450875,938.1427889439,581.1525753478,501.8045113722
224,114.4200000000,16671.7920006214,11114.2457119672,1094.9662915433,1308.6523861519,3153.9276109591
225,13.7500000000,2011.2756073208,1341.2481385264,1098.2245360874,157.2755432150,-585.4726105080
226,363.3800000000,52168.1652824180,34779.1834298835,1082.6437912211,4154.8825193833,12151.4555419300
227,161.5100000000,19072.3071689176,12714.7973189396,931.2135751301,1846.7033840762,3579.5928907717
228,17.5500000000,2067.4558038540,1377.9820599330,929.6388554362,200.6520912233,-440.8172027386
229,7.6200000000,910.3614514934,606.8574456048,938.8824522502,87.1589994669,-722.5374458285
230,20.3000000000,1771.8642093551,1181.3902541688,756.8298005211,232.1970676960,-398.5529130309
231,131.7200000000,15495.5535673395,10330.1968390567,928.7304688664,1505.9149626919,2730.7112967244
232,188.8100000000,16364.4366655242,10909.5516437759,753.5492527343,2158.7773096478,2542.5584593661
233,290.7700000000,41937.7233040068,27958.9088680551,1086.4759890134,3324.9475589125,9567.3908880258
234,48.8900000000,4266.7516053725,2844.3806224959,756.7683859227,559.2130556348,106.3895413191
235,105.0200000000,15240.2593575628,10160.0142857188,1091.5804976578,1201.0433572686,2787.6212169177
236,159.2900000000,18904.6565935642,12602.8455719375,934.5057179604,1821.5984523504,3545.7068513159
237,11.4200000000,1668.1715909192,1111.9641646604,1097.0767788299,130.6205983108,-671.4899508818
238,100.3200000000,14402.3070645940,9601.3622501929,1082.6437912211,1147.0576651014,2571.2433580786
239,57.7000000000,6843.3852908409,4562.1042074603,934.0736028865,659.8285574470,687.3789230472
240,5.7700000000,503.5092620716,335.7077619295,756.7192474217,65.9979312457,-654.9156785253
241,110.8600000000,16120.5024224693,10746.8000879336,1093.2784533794,1267.8831814399,3012.5406997163
242,26.3500000000,2298.2009984785,1532.1020883362,756.4780410728,301.3849706832,-291.7641016137
243,93.0500000000,11028.0726524015,7352.1359812735,933.6011095794,1064.0500442459,1678.2855173027
244,99.8700000000,14572.9582394986,9715.7853300748,1096.1853728800,1142.2750934335,2618.7124431102
245,156.9400000000,22569.0832875884,15046.4668719305,1084.0440787886,1794.5062726409,4644.0660642285
246,53.4500000000,6378.5390343271,4252.2970269932,938.1427889439,611.3482612151,576.7509571749
247,157.8500000000,22906.8266957846,15271.3151070763,1091.5804976578,1805.2246614440,4738.7064296065
248,10.8700000000,947.2373971131,631.5117626393,756.0716187804,124.3219766059,-564.6679609125
249,42.7300000000,3725.6534608487,2483.8351368578,756.3298557505,488.7261598463,-3.2376916059
250,45.8200000000,5475.7780858433,3650.8823312294,939.0835389281,524.1031315038,361.7090841821
251,27.3900000000,3898.0311532408,2598.2473501717,1075.4639149027,313.1274805085,-88.8075923421
252,42.7800000000,5102.2892622164,3401.8602984275,937.7632772109,489.2980369348,273.3676496432
253,51.9200000000,6195.9541003230,4130.4159020157,938.1427889439,593.8484887238,533.5469206396
254,304.4000000000,43700.7802079587,29133.7472570232,1082.6437912211,3480.5059136449,10003.8832460694
255,36.1100000000,3151.9422089918,2101.1094406068,756.8474066171,413.0371907159,-119.0518289480
256,8.1200000000,708.6859120830,472.6077786241,756.7903865069,92.8783571568,-613.5906102048
257,10.0800000000,878.6566678012,585.8052214367,756.2106627622,115.2886610651,-578.6478774629
258,23.4300000000,2042.0613663347,1361.3808759534,756.1438402539,267.9752264249,-343.4385762975
259,377.7000000000,54315.9344827459,36210.3104266407,1084.0440787886,4318.7525116379,12702.8274656787
260,102.9400000000,12268.5748850241,8179.2750427869,937.2848285391,1177.3525312924,1974.6624824056
261,117.4400000000,17013.9036801651,11342.8843612426,1090.1749041379,1343.0380421898,3237.8063725948
262,68.0400000000,8063.9447960171,5375.7553411462,933.6011095794,778.0544332132,976.5339120783
263,18.9300000000,1651.4608594455,1100.9917579166,756.5966414806,216.5201088933,-422.6476488450
264,259.4000000000,22451.1013163869,14967.6784705353,752.8992265782,2965.6418260119,3764.8817932615
265,365.6700000000,43077.2970823524,28718.3988399678,929.6388554362,4180.7663930269,9248.4929939215
266,82.0800000000,9747.1685753507,6498.3214994557,934.9012987172,938.6628278520,1375.2829493258
267,18.4900000000,1613.8802576835,1076.0080249237,756.8298005211,211.4937823497,-430.4513501111
268,31.7800000000,3794.2511999456,2529.3007295452,938.4454697809,363.4975731975,-36.9925725780
269,33.6100000000,2933.0794907345,1955.1672940305,756.7447129152,384.4363547791,-163.2688709902
270,102.6500000000,14896.3304423331,9930.5273100660,1091.5804976578,1173.9392556049,2700.2833790045
271,53.7700000000,7867.0192610003,5244.8374922478,1098.4202960231,615.0362724146,908.7252003148
272,37.5300000000,3273.3010805654,2182.0847924789,756.4780410728,429.2591252274,-94.5208782136
273,42.4300000000,6208.5261496241,4139.0826494860,1098.5078760990,485.3272778199,485.6083462193
274,237.7200000000,34369.7463875086,22912.6890693618,1088.4939688877,2718.4479146671,7650.1154345920
275,85.6700000000,12500.9044996279,8333.8902612458,1096.1853728800,979.8608917037,2090.9679737984
276,31.7100000000,2759.1063104029,1839.6278759803,755.3660261078,362.6402510058,-198.5278426911
277,32.9600000000,2876.1984883677,1917.4077940976,756.7192474217,377.0003143603,-174.9288675119
278,18.8600000000,2215.2901117020,1476.8262989669,927.7291392802,215.6109632125,-404.8762897577
279,26.4800000000,3157.5161753387,2104.6590712009,937.6160751321,302.8638802520,-187.6228512462
280,162.0300000000,14059.6773124280,9372.9181633456,754.0882497416,1852.7070941506,2079.9638051901
281,243.8200000000,21085.6025844581,14057.0832225780,752.5246171233,2787.3947534718,3488.5999912851
282,7.2900000000,871.1418407659,580.5948307460,939.0386843848,83.3850553450,-731.8767297100
283,47.3400000000,6754.2372458821,4502.6041748064,1077.5309870471,541.2239168982,632.8781671303
284,19.2700000000,2814.8569664635,1876.4395278644,1097.0767788299,220.4079622985,-379.0673025292
285,162.6200000000,14085.1126598189,9390.0250237089,753.2396180813,1859.2617136599,2082.5863043688
286,384.0400000000,55227.6713761020,36818.2484820722,1084.0440787886,4391.2462657385,12934.1325495027
287,54.9300000000,6563.0419107546,4375.6533098071,938.9383947274,628.3014973672,620.1487088529
288,130.7200000000,15553.4514713439,10368.5873294899,936.1820858981,1494.9992259717,2753.6828299842
289,24.6700000000,2947.5740749739,1964.9503428655,938.9383947274,282.1809200810,-238.4955827000
290,37.4100000000,5461.9674670808,3641.2070806250,1096.6652581846,427.8865940516,296.2085342196
291,195.1600000000,16925.0719306953,11283.6690142150,753.8312137160,2231.4570765668,2656.1146261974
