policy_id,premium_pp,pv_premiums,pv_claims,pv_expenses,pv_commissions,pv_net_cf
128,4.1700000000,19198.0294051687,14904.8874371234,24288.4017569753,0.0000000000,-19995.2597889300
129,16.9200000000,129385.4814215921,86058.4583146512,67875.4790424997,17213.1020902515,-41761.5580258104
130,48.4600000000,3467.1090898712,3807.5493604793,358.7664824749,0.0000000000,-699.2067530830
131,21.5900000000,78689.1200706618,81233.0912963027,18538.5836871442,0.0000000000,-21082.5549127852
132,69.9300000000,374814.0565252034,372160.2016109984,27589.0556345727,0.0000000000,-24935.2007203676
133,51.0600000000,254588.1752358457,226724.0796957983,25493.3972679055,0.0000000000,2370.6982721418
134,66.0500000000,727420.0144509638,484711.1070400117,83132.8303930016,57263.7653172480,102312.3117007025
135,12.3300000000,104404.1355663125,70658.5036010277,45234.2797614206,7607.1764788292,-19095.8242749650
136,59.3000000000,417172.0695801464,355244.0303780607,36521.3910234406,0.0000000000,25406.6481786451
137,101.1800000000,296477.9579932147,240198.2835553142,15435.0567137100,0.0000000000,40844.6177241905
138,94.4200000000,329698.2865815103,268594.9766114099,18048.8619558541,0.0000000000,43054.4480142463
139,37.8500000000,164667.1040638185,110322.2300558732,22762.2804108663,19927.6119832118,11654.9816138672
140,13.9000000000,50019.4647825940,33305.9718221680,31610.7749708108,6596.8221497975,-21494.1041601822
141,25.0400000000,35955.3471352004,32183.0959275589,7303.7985697202,0.0000000000,-3531.5473620786
142,20.2100000000,106601.0521390153,118479.4607665939,27479.7227556842,0.0000000000,-39358.1313832627
143,84.7900000000,593044.7471578065,512466.1908012336,36489.1088600241,0.0000000000,44089.4474965488
144,8.1500000000,13623.3083761649,11867.2784737933,8481.9433156774,0.0000000000,-6725.9134133058
145,11.5000000000,37780.3276641880,35387.6552328868,16770.6751555486,0.0000000000,-14378.0027242474
146,129.3500000000,656290.6100018825,558283.1260542313,26626.0870160144,0.0000000000,71381.3969316369
147,14.5600000000,61451.3219236252,40899.7194333224,37398.4374882587,8140.7261264364,-24987.5611243923
148,130.0900000000,333539.6358693062,360469.5333082816,12983.4821961590,0.0000000000,-39913.3796351344
149,62.4000000000,424225.6665811284,293872.1834431232,36998.4432278299,11330.6758337859,82024.3640763894
150,46.1300000000,67652.9396918163,63838.7620267801,7619.3666239719,0.0000000000,-3805.1889589357
151,71.7300000000,498342.6644931010,331514.4425598097,53568.4231190266,40128.5267328464,73131.2720814183
152,51.1200000000,364228.7812618482,264744.2936384082,38661.6089776399,0.0000000000,60822.8786458000
153,47.7500000000,354702.1303569088,281598.7588173934,39117.7155148573,0.0000000000,33985.6560246581
154,52.4300000000,30012.1122079807,22137.1813841212,2974.2572413281,0.0000000000,4900.6735825314
155,62.3000000000,77437.3450287235,75099.0187376121,6319.8338445170,0.0000000000,-3981.5075534056
156,22.8400000000,53993.4594673132,43606.9374922275,12356.7608576542,0.0000000000,-1970.2388825685
157,29.0400000000,4621.2599049266,5527.0308244118,806.1726373670,0.0000000000,-1711.9435568522
158,85.3500000000,155930.5590423408,142202.0027300378,9307.6585571435,0.0000000000,4420.8977551595
159,212.4100000000,859346.3321125819,769287.6126240459,21104.6460949883,0.0000000000,68954.0733935477
160,12.7600000000,13646.1357039968,13406.6773284046,5371.6010217273,0.0000000000,-5132.1426461351
161,53.7500000000,364482.6612392800,242912.8317003374,53481.4412415356,34973.8397133347,33114.5485840723
162,53.2400000000,360919.9262423425,240208.1778051159,59894.2334255786,47825.5752802438,12991.9397314041
163,43.1900000000,34793.5087237567,25816.6179122899,4181.3075452448,0.0000000000,4795.5832662220
164,37.1800000000,196370.3895914390,190328.1523048825,27218.2872518411,0.0000000000,-21176.0499652846
165,332.1800000000,711709.5688582121,474081.0213313496,18804.0674022269,94351.1127609095,124473.3673637261
166,40.2000000000,28024.9232679075,25725.9839372329,3497.2417857930,0.0000000000,-1198.3024551184
167,75.9900000000,22890.5827711172,22123.4911946894,1519.2297880756,0.0000000000,-752.1382116477
168,21.7600000000,25387.7969096484,22686.1691285909,6202.9323253098,0.0000000000,-3501.3045442523
169,96.8700000000,314516.5301985553,301509.2649868340,16494.6162461096,0.0000000000,-3487.3510343883
170,29.0100000000,55741.0253609308,50402.1091280151,9765.5653206176,0.0000000000,-4426.6490877019
171,186.7600000000,965478.9578650983,705038.4117313195,27490.6847955931,0.0000000000,232949.8613381856
