policy_id,scr_life,life_mort,life_longev,life_lapse,life_exps,lapse_up,lapse_down,lapse_mass,nav_base
119,12287.433287733229,1258.4862983846106,0,10775.652504147423,2409.3000344896573,7009.138376623552,0,10775.652504147423,15373.17750252255
120,11275.833956852217,667.6426598920516,0,9811.679026383943,2421.4097984090477,6123.009020269761,0,9811.679026383943,13178.717631801235
121,12423.273759726446,1324.1443741840776,0,10905.78937564409,2407.6494058223034,7133.338359052097,0,10905.78937564409,15664.088550469387
122,11372.631345071159,708.9380215630226,0,9906.225234148282,2420.898721750811,6207.715500357532,0,9906.225234148282,13387.736455213933
123,12571.511095736894,1399.109660455404,0,11047.110231765284,2405.7238122798735,7265.608602026667,0,11047.110231765284,15981.540966886678
124,11475.346628962528,753.9842687355122,0,10006.360082646548,2420.2452448308322,6296.663436518647,0,10006.360082646548,13609.759540000567
125,12734.205818133672,1485.7290582495916,0,11201.263409997307,2403.486941301293,7407.082726453431,0,11201.263409997307,16329.542021795816
126,11585.16534268444,804.4237492762186,0,10113.08238693291,2419.4210880009778,6390.9172923711885,0,10113.08238693291,13847.205685406007
127,12911.236997526592,1584.2725804562215,0,11367.94360062822,2400.930826131662,7558.481727969396,0,11367.94360062822,16707.267478879075
128,11701.64532984779,859.7346110897197,0,10225.958590707014,2418.4272914966714,6490.490966258585,0,10225.958590707014,14098.963899082446
129,13100.875879621635,1692.6843608896597,0,11545.572017285172,2398.076856868982,7719.227935924879,0,11545.572017285172,17110.76703017691
130,11824.579707059193,919.3398111777351,0,10344.80782950249,2417.264653322185,6595.113358701419,0,10344.80782950249,14364.553004835092
131,13343.501614884952,1809.8650782848126,0,11775.752486776168,2394.9319702304783,7898.40271510891,0,11775.752486776168,17518.41236156426
132,11954.629525957025,983.7817961042019,0,10470.203185703154,2415.918350341366,6705.062038816628,0,10470.203185703154,14645.34566183589
133,13614.534550856335,1934.599282130337,0,12033.387296592511,2391.50291069175,8089.957426345602,0,12033.387296592511,17940.904149185284
134,12092.24593298714,1053.673169745729,0,10602.483833645805,2414.3725865747256,6820.955822029966,0,10602.483833645805,14942.125361659098
135,13899.864512460446,2069.108519595844,0,12303.484770996598,2387.751829044282,8291.928054673146,0,12303.484770996598,18389.36945163278
136,12237.322410465962,1128.5227062769409,0,10741.556057165508,2412.6257829438837,6942.579207652176,0,10741.556057165508,15254.61825156145
137,14205.6091553919,2213.519543212984,0,12592.21850310317,2383.668357262941,8504.835928258166,0,12592.21850310317,18864.09079052307
138,12390.647159429882,1208.972096692727,0,10888.09135688006,2410.660724526824,7070.2689200297755,0,10888.09135688006,15584.43053366628
